tenant,role,module,action,method,route,expected,ok,status
TENANT_A,editor,instalaciones,update,PUT,/api/instalaciones,allow,false,500
TENANT_A,admin,instalaciones,update,PUT,/api/instalaciones,allow,false,500
TENANT_B,none,instalaciones,update,PUT,/api/instalaciones,deny,false,500
TENANT_B,read,instalaciones,update,PUT,/api/instalaciones,deny,false,500
TENANT_B,editor,instalaciones,update,PUT,/api/instalaciones,allow,false,500
TENANT_B,admin,instalaciones,update,PUT,/api/instalaciones,allow,false,500
TENANT_A,none,instalaciones,delete,DELETE,/api/instalaciones,deny,false,500
TENANT_A,read,instalaciones,delete,DELETE,/api/instalaciones,deny,false,500
TENANT_A,editor,instalaciones,delete,DELETE,/api/instalaciones,deny,false,500
TENANT_A,admin,instalaciones,delete,DELETE,/api/instalaciones,allow,false,500
TENANT_B,none,instalaciones,delete,DELETE,/api/instalaciones,deny,false,500
TENANT_B,read,instalaciones,delete,DELETE,/api/instalaciones,deny,false,500
TENANT_B,editor,instalaciones,delete,DELETE,/api/instalaciones,deny,false,500
TENANT_B,admin,instalaciones,delete,DELETE,/api/instalaciones,allow,false,500
TENANT_A,none,pauta-diaria,read:list,GET,/api/pauta-diaria,deny,false,500
TENANT_A,read,pauta-diaria,read:list,GET,/api/pauta-diaria,deny,false,500
TENANT_A,editor,pauta-diaria,read:list,GET,/api/pauta-diaria,deny,false,500
TENANT_A,admin,pauta-diaria,read:list,GET,/api/pauta-diaria,deny,false,500
TENANT_B,none,pauta-diaria,read:list,GET,/api/pauta-diaria,deny,false,500
TENANT_B,read,pauta-diaria,read:list,GET,/api/pauta-diaria,deny,false,500
TENANT_B,editor,pauta-diaria,read:list,GET,/api/pauta-diaria,deny,false,500
TENANT_B,admin,pauta-diaria,read:list,GET,/api/pauta-diaria,deny,false,500
TENANT_A,none,pauta-mensual,read:list,GET,/api/pauta-mensual,deny,false,500
TENANT_A,read,pauta-mensual,read:list,GET,/api/pauta-mensual,deny,false,500
TENANT_A,editor,pauta-mensual,read:list,GET,/api/pauta-mensual,deny,false,500
TENANT_A,admin,pauta-mensual,read:list,GET,/api/pauta-mensual,deny,false,500
TENANT_B,none,pauta-mensual,read:list,GET,/api/pauta-mensual,deny,false,500
TENANT_B,read,pauta-mensual,read:list,GET,/api/pauta-mensual,deny,false,500
TENANT_B,editor,pauta-mensual,read:list,GET,/api/pauta-mensual,deny,false,500
TENANT_B,admin,pauta-mensual,read:list,GET,/api/pauta-mensual,deny,false,500
TENANT_A,none,clientes,read:detail,GET,/api/clientes/[id],deny,false,500
TENANT_A,read,clientes,read:detail,GET,/api/clientes/[id],allow,false,500
TENANT_A,editor,clientes,read:detail,GET,/api/clientes/[id],allow,false,500
TENANT_A,admin,clientes,read:detail,GET,/api/clientes/[id],allow,false,500
TENANT_B,none,clientes,read:detail,GET,/api/clientes/[id],deny,false,500
TENANT_B,read,clientes,read:detail,GET,/api/clientes/[id],allow,false,500
TENANT_B,editor,clientes,read:detail,GET,/api/clientes/[id],allow,false,500
TENANT_B,admin,clientes,read:detail,GET,/api/clientes/[id],allow,false,500
TENANT_A,none,clientes,update,PUT,/api/clientes/[id],deny,false,500
TENANT_A,read,clientes,update,PUT,/api/clientes/[id],deny,false,500
TENANT_A,editor,clientes,update,PUT,/api/clientes/[id],allow,false,500
TENANT_A,admin,clientes,update,PUT,/api/clientes/[id],allow,false,500
TENANT_B,none,clientes,update,PUT,/api/clientes/[id],deny,false,500
TENANT_B,read,clientes,update,PUT,/api/clientes/[id],deny,false,500
TENANT_B,editor,clientes,update,PUT,/api/clientes/[id],allow,false,500
TENANT_B,admin,clientes,update,PUT,/api/clientes/[id],allow,false,500
TENANT_A,none,guardias,read:list,GET,/api/guardias/buscar,deny,false,500
TENANT_A,read,guardias,read:list,GET,/api/guardias/buscar,allow,false,500
TENANT_A,editor,guardias,read:list,GET,/api/guardias/buscar,allow,false,500
TENANT_A,admin,guardias,read:list,GET,/api/guardias/buscar,allow,false,500
TENANT_B,none,guardias,read:list,GET,/api/guardias/buscar,deny,false,500
TENANT_B,read,guardias,read:list,GET,/api/guardias/buscar,allow,false,500
TENANT_B,editor,guardias,read:list,GET,/api/guardias/buscar,allow,false,500
TENANT_B,admin,guardias,read:list,GET,/api/guardias/buscar,allow,false,500
TENANT_A,none,guardias,read:list,GET,/api/guardias/conflictos,deny,false,500
TENANT_A,read,guardias,read:list,GET,/api/guardias/conflictos,allow,false,500
TENANT_A,editor,guardias,read:list,GET,/api/guardias/conflictos,allow,false,500
TENANT_A,admin,guardias,read:list,GET,/api/guardias/conflictos,allow,false,500
TENANT_B,none,guardias,read:list,GET,/api/guardias/conflictos,deny,false,500
TENANT_B,read,guardias,read:list,GET,/api/guardias/conflictos,allow,false,500
TENANT_B,editor,guardias,read:list,GET,/api/guardias/conflictos,allow,false,500
TENANT_B,admin,guardias,read:list,GET,/api/guardias/conflictos,allow,false,500
TENANT_A,none,guardias,update,PUT,/api/guardias/[id],deny,false,500
TENANT_A,read,guardias,update,PUT,/api/guardias/[id],deny,false,500
TENANT_A,editor,guardias,update,PUT,/api/guardias/[id],allow,false,500
TENANT_A,admin,guardias,update,PUT,/api/guardias/[id],allow,false,500
TENANT_B,none,guardias,update,PUT,/api/guardias/[id],deny,false,500
TENANT_B,read,guardias,update,PUT,/api/guardias/[id],deny,false,500
TENANT_B,editor,guardias,update,PUT,/api/guardias/[id],allow,false,500
TENANT_B,admin,guardias,update,PUT,/api/guardias/[id],allow,false,500
TENANT_A,none,guardias,read:detail,GET,/api/guardias/[id],deny,false,500
TENANT_A,read,guardias,read:detail,GET,/api/guardias/[id],allow,false,500
TENANT_A,editor,guardias,read:detail,GET,/api/guardias/[id],allow,false,500
TENANT_A,admin,guardias,read:detail,GET,/api/guardias/[id],allow,false,500
TENANT_B,none,guardias,read:detail,GET,/api/guardias/[id],deny,false,500
TENANT_B,read,guardias,read:detail,GET,/api/guardias/[id],allow,false,500
TENANT_B,editor,guardias,read:detail,GET,/api/guardias/[id],allow,false,500
TENANT_B,admin,guardias,read:detail,GET,/api/guardias/[id],allow,false,500
TENANT_A,none,guardias,update,PATCH,/api/guardias/[id],deny,false,500
TENANT_A,read,guardias,update,PATCH,/api/guardias/[id],deny,false,500
TENANT_A,editor,guardias,update,PATCH,/api/guardias/[id],allow,false,500
TENANT_A,admin,guardias,update,PATCH,/api/guardias/[id],allow,false,500
TENANT_B,none,guardias,update,PATCH,/api/guardias/[id],deny,false,500
TENANT_B,read,guardias,update,PATCH,/api/guardias/[id],deny,false,500
TENANT_B,editor,guardias,update,PATCH,/api/guardias/[id],allow,false,500
TENANT_B,admin,guardias,update,PATCH,/api/guardias/[id],allow,false,500
TENANT_A,none,guardias,delete,DELETE,/api/guardias/[id],deny,false,500
TENANT_A,read,guardias,delete,DELETE,/api/guardias/[id],deny,false,500
TENANT_A,editor,guardias,delete,DELETE,/api/guardias/[id],deny,false,500
TENANT_A,admin,guardias,delete,DELETE,/api/guardias/[id],allow,false,500
TENANT_B,none,guardias,delete,DELETE,/api/guardias/[id],deny,false,500
TENANT_B,read,guardias,delete,DELETE,/api/guardias/[id],deny,false,500
TENANT_B,editor,guardias,delete,DELETE,/api/guardias/[id],deny,false,500
TENANT_B,admin,guardias,delete,DELETE,/api/guardias/[id],allow,false,500
TENANT_A,none,guardias,read:list,GET,/api/guardias/disponibles,deny,false,500
TENANT_A,read,guardias,read:list,GET,/api/guardias/disponibles,allow,false,500
TENANT_A,editor,guardias,read:list,GET,/api/guardias/disponibles,allow,false,500
TENANT_A,admin,guardias,read:list,GET,/api/guardias/disponibles,allow,false,500
TENANT_B,none,guardias,read:list,GET,/api/guardias/disponibles,deny,false,500
TENANT_B,read,guardias,read:list,GET,/api/guardias/disponibles,allow,false,500
TENANT_B,editor,guardias,read:list,GET,/api/guardias/disponibles,allow,false,500
TENANT_B,admin,guardias,read:list,GET,/api/guardias/disponibles,allow,false,500
TENANT_A,none,guardias,read:list,GET,/api/guardias/guardia-metrics,deny,false,500
TENANT_A,read,guardias,read:list,GET,/api/guardias/guardia-metrics,allow,false,500
TENANT_A,editor,guardias,read:list,GET,/api/guardias/guardia-metrics,allow,false,500
TENANT_A,admin,guardias,read:list,GET,/api/guardias/guardia-metrics,allow,false,500
TENANT_B,none,guardias,read:list,GET,/api/guardias/guardia-metrics,deny,false,500
TENANT_B,read,guardias,read:list,GET,/api/guardias/guardia-metrics,allow,false,500
TENANT_B,editor,guardias,read:list,GET,/api/guardias/guardia-metrics,allow,false,500
TENANT_B,admin,guardias,read:list,GET,/api/guardias/guardia-metrics,allow,false,500
TENANT_A,none,guardias,create,POST,/api/guardias/permisos,deny,false,500
TENANT_A,read,guardias,create,POST,/api/guardias/permisos,deny,false,500
TENANT_A,editor,guardias,create,POST,/api/guardias/permisos,allow,false,500
TENANT_A,admin,guardias,create,POST,/api/guardias/permisos,allow,false,500
TENANT_B,none,guardias,create,POST,/api/guardias/permisos,deny,false,500
TENANT_B,read,guardias,create,POST,/api/guardias/permisos,deny,false,500
TENANT_B,editor,guardias,create,POST,/api/guardias/permisos,allow,false,500
TENANT_B,admin,guardias,create,POST,/api/guardias/permisos,allow,false,500
TENANT_A,none,guardias,read:list,GET,/api/guardias/permisos,deny,false,500
TENANT_A,read,guardias,read:list,GET,/api/guardias/permisos,allow,false,500
TENANT_A,editor,guardias,read:list,GET,/api/guardias/permisos,allow,false,500
TENANT_A,admin,guardias,read:list,GET,/api/guardias/permisos,allow,false,500
TENANT_B,none,guardias,read:list,GET,/api/guardias/permisos,deny,false,500
TENANT_B,read,guardias,read:list,GET,/api/guardias/permisos,allow,false,500
TENANT_B,editor,guardias,read:list,GET,/api/guardias/permisos,allow,false,500
TENANT_B,admin,guardias,read:list,GET,/api/guardias/permisos,allow,false,500
TENANT_A,none,instalaciones,read:list,GET,/api/instalaciones/kpis,deny,false,500
TENANT_A,read,instalaciones,read:list,GET,/api/instalaciones/kpis,allow,false,500
TENANT_A,editor,instalaciones,read:list,GET,/api/instalaciones/kpis,allow,false,500
TENANT_A,admin,instalaciones,read:list,GET,/api/instalaciones/kpis,allow,false,500
TENANT_B,none,instalaciones,read:list,GET,/api/instalaciones/kpis,deny,false,500
TENANT_B,read,instalaciones,read:list,GET,/api/instalaciones/kpis,allow,false,500
TENANT_B,editor,instalaciones,read:list,GET,/api/instalaciones/kpis,allow,false,500
TENANT_B,admin,instalaciones,read:list,GET,/api/instalaciones/kpis,allow,false,500
TENANT_A,none,instalaciones,read:detail,GET,/api/instalaciones/[id],deny,false,500
TENANT_A,read,instalaciones,read:detail,GET,/api/instalaciones/[id],allow,false,500
TENANT_A,editor,instalaciones,read:detail,GET,/api/instalaciones/[id],allow,false,500
TENANT_A,admin,instalaciones,read:detail,GET,/api/instalaciones/[id],allow,false,500
TENANT_B,none,instalaciones,read:detail,GET,/api/instalaciones/[id],deny,false,500
TENANT_B,read,instalaciones,read:detail,GET,/api/instalaciones/[id],allow,false,500
TENANT_B,editor,instalaciones,read:detail,GET,/api/instalaciones/[id],allow,false,500
TENANT_B,admin,instalaciones,read:detail,GET,/api/instalaciones/[id],allow,false,500
TENANT_A,none,instalaciones,read:list,GET,/api/instalaciones/documentos-vencidos,deny,false,500
TENANT_A,read,instalaciones,read:list,GET,/api/instalaciones/documentos-vencidos,allow,false,500
TENANT_A,editor,instalaciones,read:list,GET,/api/instalaciones/documentos-vencidos,allow,false,500
TENANT_A,admin,instalaciones,read:list,GET,/api/instalaciones/documentos-vencidos,allow,false,500
TENANT_B,none,instalaciones,read:list,GET,/api/instalaciones/documentos-vencidos,deny,false,500
TENANT_B,read,instalaciones,read:list,GET,/api/instalaciones/documentos-vencidos,allow,false,500
TENANT_B,editor,instalaciones,read:list,GET,/api/instalaciones/documentos-vencidos,allow,false,500
TENANT_B,admin,instalaciones,read:list,GET,/api/instalaciones/documentos-vencidos,allow,false,500
TENANT_A,none,pauta-mensual,update,PUT,/api/pauta-mensual/actualizar-celda,deny,false,500
TENANT_A,read,pauta-mensual,update,PUT,/api/pauta-mensual/actualizar-celda,deny,false,500
TENANT_A,editor,pauta-mensual,update,PUT,/api/pauta-mensual/actualizar-celda,allow,false,500
TENANT_A,admin,pauta-mensual,update,PUT,/api/pauta-mensual/actualizar-celda,allow,false,500
TENANT_B,none,pauta-mensual,update,PUT,/api/pauta-mensual/actualizar-celda,deny,false,500
TENANT_B,read,pauta-mensual,update,PUT,/api/pauta-mensual/actualizar-celda,deny,false,500
TENANT_B,editor,pauta-mensual,update,PUT,/api/pauta-mensual/actualizar-celda,allow,false,500
TENANT_B,admin,pauta-mensual,update,PUT,/api/pauta-mensual/actualizar-celda,allow,false,500
TENANT_A,none,pauta-mensual,create,POST,/api/pauta-mensual/crear,deny,false,500
TENANT_A,read,pauta-mensual,create,POST,/api/pauta-mensual/crear,deny,false,500
TENANT_A,editor,pauta-mensual,create,POST,/api/pauta-mensual/crear,deny,false,500
TENANT_A,admin,pauta-mensual,create,POST,/api/pauta-mensual/crear,deny,false,500
TENANT_B,none,pauta-mensual,create,POST,/api/pauta-mensual/crear,deny,false,500
TENANT_B,read,pauta-mensual,create,POST,/api/pauta-mensual/crear,deny,false,500
TENANT_B,editor,pauta-mensual,create,POST,/api/pauta-mensual/crear,deny,false,500
TENANT_B,admin,pauta-mensual,create,POST,/api/pauta-mensual/crear,deny,false,500
TENANT_A,none,pauta-mensual,delete,DELETE,/api/pauta-mensual/eliminar,deny,false,500
TENANT_A,read,pauta-mensual,delete,DELETE,/api/pauta-mensual/eliminar,deny,false,500
TENANT_A,editor,pauta-mensual,delete,DELETE,/api/pauta-mensual/eliminar,deny,false,500
TENANT_A,admin,pauta-mensual,delete,DELETE,/api/pauta-mensual/eliminar,deny,false,500
TENANT_B,none,pauta-mensual,delete,DELETE,/api/pauta-mensual/eliminar,deny,false,500
TENANT_B,read,pauta-mensual,delete,DELETE,/api/pauta-mensual/eliminar,deny,false,500
TENANT_B,editor,pauta-mensual,delete,DELETE,/api/pauta-mensual/eliminar,deny,false,500
TENANT_B,admin,pauta-mensual,delete,DELETE,/api/pauta-mensual/eliminar,deny,false,500
TENANT_A,none,pauta-mensual,export,GET,/api/pauta-mensual/exportar-xlsx,deny,false,500
TENANT_A,read,pauta-mensual,export,GET,/api/pauta-mensual/exportar-xlsx,deny,false,500
TENANT_A,editor,pauta-mensual,export,GET,/api/pauta-mensual/exportar-xlsx,deny,false,500
TENANT_A,admin,pauta-mensual,export,GET,/api/pauta-mensual/exportar-xlsx,allow,false,500
TENANT_B,none,pauta-mensual,export,GET,/api/pauta-mensual/exportar-xlsx,deny,false,500
TENANT_B,read,pauta-mensual,export,GET,/api/pauta-mensual/exportar-xlsx,deny,false,500
TENANT_B,editor,pauta-mensual,export,GET,/api/pauta-mensual/exportar-xlsx,deny,false,500
TENANT_B,admin,pauta-mensual,export,GET,/api/pauta-mensual/exportar-xlsx,allow,false,500
TENANT_A,none,pauta-mensual,export,GET,/api/pauta-mensual/exportar-pdf,deny,false,500
TENANT_A,read,pauta-mensual,export,GET,/api/pauta-mensual/exportar-pdf,deny,false,500
TENANT_A,editor,pauta-mensual,export,GET,/api/pauta-mensual/exportar-pdf,deny,false,500
TENANT_A,admin,pauta-mensual,export,GET,/api/pauta-mensual/exportar-pdf,allow,false,500
TENANT_B,none,pauta-mensual,export,GET,/api/pauta-mensual/exportar-pdf,deny,false,500
TENANT_B,read,pauta-mensual,export,GET,/api/pauta-mensual/exportar-pdf,deny,false,500
TENANT_B,editor,pauta-mensual,export,GET,/api/pauta-mensual/exportar-pdf,deny,false,500
TENANT_B,admin,pauta-mensual,export,GET,/api/pauta-mensual/exportar-pdf,allow,false,500
TENANT_A,none,pauta-mensual,create,POST,/api/pauta-mensual/guardar,deny,false,500
TENANT_A,read,pauta-mensual,create,POST,/api/pauta-mensual/guardar,deny,false,500
TENANT_A,editor,pauta-mensual,create,POST,/api/pauta-mensual/guardar,deny,false,500
TENANT_A,admin,pauta-mensual,create,POST,/api/pauta-mensual/guardar,deny,false,500
TENANT_B,none,pauta-mensual,create,POST,/api/pauta-mensual/guardar,deny,false,500
TENANT_B,read,pauta-mensual,create,POST,/api/pauta-mensual/guardar,deny,false,500
TENANT_B,editor,pauta-mensual,create,POST,/api/pauta-mensual/guardar,deny,false,500
TENANT_B,admin,pauta-mensual,create,POST,/api/pauta-mensual/guardar,deny,false,500
TENANT_A,none,pauta-mensual,read:list,GET,/api/pauta-mensual/resumen,deny,false,500
TENANT_A,read,pauta-mensual,read:list,GET,/api/pauta-mensual/resumen,deny,false,500
TENANT_A,editor,pauta-mensual,read:list,GET,/api/pauta-mensual/resumen,deny,false,500
TENANT_A,admin,pauta-mensual,read:list,GET,/api/pauta-mensual/resumen,deny,false,500
TENANT_B,none,pauta-mensual,read:list,GET,/api/pauta-mensual/resumen,deny,false,500
TENANT_B,read,pauta-mensual,read:list,GET,/api/pauta-mensual/resumen,deny,false,500
TENANT_B,editor,pauta-mensual,read:list,GET,/api/pauta-mensual/resumen,deny,false,500
TENANT_B,admin,pauta-mensual,read:list,GET,/api/pauta-mensual/resumen,deny,false,500
TENANT_A,none,pauta-mensual,create,POST,/api/pauta-mensual/verificar-roles,deny,false,500
TENANT_A,read,pauta-mensual,create,POST,/api/pauta-mensual/verificar-roles,deny,false,500
TENANT_A,editor,pauta-mensual,create,POST,/api/pauta-mensual/verificar-roles,deny,false,500
TENANT_A,admin,pauta-mensual,create,POST,/api/pauta-mensual/verificar-roles,deny,false,500
TENANT_B,none,pauta-mensual,create,POST,/api/pauta-mensual/verificar-roles,deny,false,500
TENANT_B,read,pauta-mensual,create,POST,/api/pauta-mensual/verificar-roles,deny,false,500
TENANT_B,editor,pauta-mensual,create,POST,/api/pauta-mensual/verificar-roles,deny,false,500
TENANT_B,admin,pauta-mensual,create,POST,/api/pauta-mensual/verificar-roles,deny,false,500
TENANT_A,none,payroll,read:list,GET,/api/payroll/estructuras-guardia,deny,false,500
TENANT_A,read,payroll,read:list,GET,/api/payroll/estructuras-guardia,deny,false,500
TENANT_A,editor,payroll,read:list,GET,/api/payroll/estructuras-guardia,deny,false,500
TENANT_A,admin,payroll,read:list,GET,/api/payroll/estructuras-guardia,deny,false,500
TENANT_B,none,payroll,read:list,GET,/api/payroll/estructuras-guardia,deny,false,500
TENANT_B,read,payroll,read:list,GET,/api/payroll/estructuras-guardia,deny,false,500
TENANT_B,editor,payroll,read:list,GET,/api/payroll/estructuras-guardia,deny,false,500
TENANT_B,admin,payroll,read:list,GET,/api/payroll/estructuras-guardia,deny,false,500
TENANT_A,none,pauta-diaria,create,POST,/api/pauta-diaria/turno-extra,deny,false,500
TENANT_A,read,pauta-diaria,create,POST,/api/pauta-diaria/turno-extra,deny,false,500
TENANT_A,editor,pauta-diaria,create,POST,/api/pauta-diaria/turno-extra,deny,false,500
TENANT_A,admin,pauta-diaria,create,POST,/api/pauta-diaria/turno-extra,deny,false,500
TENANT_B,none,pauta-diaria,create,POST,/api/pauta-diaria/turno-extra,deny,false,500
TENANT_B,read,pauta-diaria,create,POST,/api/pauta-diaria/turno-extra,deny,false,500
TENANT_B,editor,pauta-diaria,create,POST,/api/pauta-diaria/turno-extra,deny,false,500
TENANT_B,admin,pauta-diaria,create,POST,/api/pauta-diaria/turno-extra,deny,false,500
TENANT_A,none,pauta-diaria,read:list,GET,/api/pauta-diaria/turno-extra,deny,false,500
TENANT_A,read,pauta-diaria,read:list,GET,/api/pauta-diaria/turno-extra,deny,false,500
TENANT_A,editor,pauta-diaria,read:list,GET,/api/pauta-diaria/turno-extra,deny,false,500
TENANT_A,admin,pauta-diaria,read:list,GET,/api/pauta-diaria/turno-extra,deny,false,500
TENANT_B,none,pauta-diaria,read:list,GET,/api/pauta-diaria/turno-extra,deny,false,500
TENANT_B,read,pauta-diaria,read:list,GET,/api/pauta-diaria/turno-extra,deny,false,500
TENANT_B,editor,pauta-diaria,read:list,GET,/api/pauta-diaria/turno-extra,deny,false,500
TENANT_B,admin,pauta-diaria,read:list,GET,/api/pauta-diaria/turno-extra,deny,false,500
TENANT_A,none,payroll,read:list,GET,/api/payroll/guardias,deny,false,500
TENANT_A,read,payroll,read:list,GET,/api/payroll/guardias,deny,false,500
TENANT_A,editor,payroll,read:list,GET,/api/payroll/guardias,deny,false,500
TENANT_A,admin,payroll,read:list,GET,/api/payroll/guardias,deny,false,500
TENANT_B,none,payroll,read:list,GET,/api/payroll/guardias,deny,false,500
TENANT_B,read,payroll,read:list,GET,/api/payroll/guardias,deny,false,500
TENANT_B,editor,payroll,read:list,GET,/api/payroll/guardias,deny,false,500
TENANT_B,admin,payroll,read:list,GET,/api/payroll/guardias,deny,false,500
TENANT_A,none,payroll,read:list,GET,/api/payroll/instalaciones,deny,false,500
TENANT_A,read,payroll,read:list,GET,/api/payroll/instalaciones,deny,false,500
TENANT_A,editor,payroll,read:list,GET,/api/payroll/instalaciones,deny,false,500
TENANT_A,admin,payroll,read:list,GET,/api/payroll/instalaciones,deny,false,500
TENANT_B,none,payroll,read:list,GET,/api/payroll/instalaciones,deny,false,500
TENANT_B,read,payroll,read:list,GET,/api/payroll/instalaciones,deny,false,500
TENANT_B,editor,payroll,read:list,GET,/api/payroll/instalaciones,deny,false,500
TENANT_B,admin,payroll,read:list,GET,/api/payroll/instalaciones,deny,false,500
TENANT_A,none,payroll,read:list,GET,/api/payroll/sueldo-items,deny,false,500
TENANT_A,read,payroll,read:list,GET,/api/payroll/sueldo-items,deny,false,500
TENANT_A,editor,payroll,read:list,GET,/api/payroll/sueldo-items,deny,false,500
TENANT_A,admin,payroll,read:list,GET,/api/payroll/sueldo-items,deny,false,500
TENANT_B,none,payroll,read:list,GET,/api/payroll/sueldo-items,deny,false,500
TENANT_B,read,payroll,read:list,GET,/api/payroll/sueldo-items,deny,false,500
TENANT_B,editor,payroll,read:list,GET,/api/payroll/sueldo-items,deny,false,500
TENANT_B,admin,payroll,read:list,GET,/api/payroll/sueldo-items,deny,false,500
TENANT_A,none,payroll,read:list,GET,/api/payroll/items-extras,deny,false,500
TENANT_A,read,payroll,read:list,GET,/api/payroll/items-extras,deny,false,500
TENANT_A,editor,payroll,read:list,GET,/api/payroll/items-extras,deny,false,500
TENANT_A,admin,payroll,read:list,GET,/api/payroll/items-extras,deny,false,500
TENANT_B,none,payroll,read:list,GET,/api/payroll/items-extras,deny,false,500
TENANT_B,read,payroll,read:list,GET,/api/payroll/items-extras,deny,false,500
TENANT_B,editor,payroll,read:list,GET,/api/payroll/items-extras,deny,false,500
TENANT_B,admin,payroll,read:list,GET,/api/payroll/items-extras,deny,false,500
TENANT_A,none,payroll,create,POST,/api/payroll/items-extras,deny,false,500
TENANT_A,read,payroll,create,POST,/api/payroll/items-extras,deny,false,500
TENANT_A,editor,payroll,create,POST,/api/payroll/items-extras,deny,false,500
TENANT_A,admin,payroll,create,POST,/api/payroll/items-extras,deny,false,500
TENANT_B,none,payroll,create,POST,/api/payroll/items-extras,deny,false,500
TENANT_B,read,payroll,create,POST,/api/payroll/items-extras,deny,false,500
TENANT_B,editor,payroll,create,POST,/api/payroll/items-extras,deny,false,500
